"pernr","job_code","prior_job_code","job_change_date"
722669,16000025,16000025,"06/11/2017"
716863,24601103,16000025,"06/16/2017"
725722,24601103,16100019,"06/16/2017"
655289,16200013,16200013,"06/18/2017"
759199,16000025,16000025,"06/25/2017"
754357,16100020,16100020,"06/04/2017"
657799,16200013,16200013,"06/18/2017"
644284,16000004,16000043,"06/11/2017"
759415,16200013,16200013,"06/18/2017"
719582,24601103,16200013,"06/01/2017"
723402,24601103,16200013,"06/01/2017"
733425,16100019,16100019,"06/04/2017"
702092,24601103,16000025,"06/16/2017"
719900,16000025,16000025,"06/11/2017"
706376,16000025,16000025,"06/25/2017"
700337,16000025,16000025,"06/11/2017"
546902,24501151,16000025,"06/16/2017"
685865,24601103,16200013,"06/01/2017"
700406,16100019,16200013,"06/18/2017"
733675,16200013,16200013,"06/18/2017"
756623,16100019,16100019,"06/18/2017"
736048,16000025,16000025,"06/25/2017"
455053,16200013,16200013,"06/18/2017"
708315,24601103,16000025,"06/01/2017"
759417,16200013,16200013,"06/18/2017"
671392,24601103,16200013,"06/16/2017"
552342,16200013,16200013,"06/04/2017"
704794,16000025,16000025,"06/25/2017"
657297,16200013,16200013,"06/04/2017"
733638,16100019,16100019,"06/18/2017"
736035,16100019,16100019,"06/18/2017"
725222,16100019,16100019,"06/18/2017"
729299,16000025,16000025,"06/25/2017"
682524,24601103,16000025,"06/01/2017"
619900,16000025,16000025,"06/11/2017"
728993,24601103,16000025,"06/16/2017"
479831,16000021,16000004,"06/11/2017"
726022,16000025,16000025,"06/11/2017"
718868,24601103,16200013,"06/01/2017"
616028,16100019,16000025,"06/18/2017"
737105,16100031,13001028,"06/11/2017"
755553,16000025,16000025,"06/25/2017"
709823,16000025,16000025,"06/11/2017"
733334,16000025,16000025,"06/25/2017"
601174,16000029,16000029,"06/25/2017"
729200,24601103,16000025,"06/16/2017"
731745,16000025,16000025,"06/11/2017"
735992,16100019,16100019,"06/18/2017"
676206,16000025,16000025,"06/11/2017"
709515,24601103,16000025,"06/16/2017"
733654,16200013,16200013,"06/18/2017"
681572,24601103,16200013,"06/16/2017"
729780,16000025,16000025,"06/25/2017"
561099,16000029,16000029,"06/25/2017"
668179,24501151,16000025,"06/16/2017"
565519,24501151,16000025,"06/01/2017"
724001,16200013,16200014,"06/04/2017"
704986,16100019,16100019,"06/18/2017"
539964,16000013,31490721,"06/25/2017"
666110,24101011,16100007,"06/01/2017"
565656,16000025,16000025,"06/11/2017"
753880,16000025,16000025,"06/25/2017"
730325,24601103,16100019,"06/01/2017"
639374,24501151,16000025,"06/16/2017"
734565,16000025,16000025,"06/25/2017"
733250,16200013,16200013,"06/18/2017"
754544,16000025,16000025,"06/25/2017"
565135,24601103,16200013,"06/16/2017"
729463,24601103,16100019,"06/01/2017"
654435,24601103,16000025,"06/16/2017"
449686,16200013,16200013,"06/04/2017"
568344,16000025,16000025,"06/11/2017"
476572,16000029,16000029,"06/25/2017"
632337,16000025,16000025,"06/11/2017"
684119,16200013,16200014,"06/18/2017"
704827,24312500,16200013,"06/01/2017"
678896,16200013,16200014,"06/18/2017"
680941,16000025,24601103,"06/25/2017"
725693,16200013,16200013,"06/18/2017"
460441,16100019,24601138,"06/04/2017"
393748,16200013,16200013,"06/18/2017"
726829,16000025,16000029,"06/11/2017"
716343,16000025,16000025,"06/11/2017"
626393,24601103,16000025,"06/01/2017"
753074,16000025,16000025,"06/25/2017"
535882,16200013,16200013,"06/18/2017"
700358,16000025,16000029,"06/11/2017"
760046,16000025,16000025,"06/25/2017"
724191,16200013,16200013,"06/18/2017"
718636,16000025,16000025,"06/25/2017"
685415,24601103,16200013,"06/16/2017"
705865,16100019,16100020,"06/18/2017"
728379,16100020,16000029,"06/04/2017"
726215,16100019,16100019,"06/18/2017"
679502,24601103,16200014,"06/16/2017"
754239,16000025,16000025,"06/25/2017"
577632,16000025,16000025,"06/25/2017"
726229,16200013,16200013,"06/04/2017"
726824,16000025,16000025,"06/25/2017"
633007,16100020,16100020,"06/18/2017"
729947,16000025,16000025,"06/25/2017"
754450,16000025,16000025,"06/11/2017"
652369,16000025,16000025,"06/25/2017"
672179,16000025,16000025,"06/25/2017"
534334,16100019,16100019,"06/18/2017"
613697,24601103,16100019,"06/01/2017"
752588,16200013,16200013,"06/04/2017"
701143,24601103,16000025,"06/16/2017"
629353,16200013,16200013,"06/04/2017"
457476,16200013,16200013,"06/04/2017"
707013,16000025,16000025,"06/11/2017"
723521,16000025,16000025,"06/25/2017"
740281,16100007,13001026,"06/11/2017"
755368,16100019,16100019,"06/04/2017"
730432,16200013,16200013,"06/18/2017"
726461,16000025,16000025,"06/11/2017"
708556,16000025,16000025,"06/25/2017"
707484,16000025,16000025,"06/11/2017"
723003,16000025,16000025,"06/25/2017"
712109,16000025,16000025,"06/11/2017"
756470,16000025,16000025,"06/25/2017"
726730,16200013,16200013,"06/04/2017"
715449,16200013,16100019,"06/18/2017"
733872,16200013,16200013,"06/04/2017"
712721,16000025,16000025,"06/11/2017"
616585,16000029,16000029,"06/25/2017"
635406,24601103,16100019,"06/01/2017"
594702,24501151,16000025,"06/16/2017"
752940,16000025,16000025,"06/25/2017"
670731,16100019,16100019,"06/04/2017"
722831,24601103,16100019,"06/16/2017"
701754,16100020,16100020,"06/04/2017"
759603,16000025,16000025,"06/25/2017"
733005,16100019,16100019,"06/04/2017"
444978,16100019,16100019,"06/18/2017"
443649,16000025,16000025,"06/11/2017"
754849,16000025,16000025,"06/25/2017"
448269,16000029,16000029,"06/25/2017"
727163,16000025,16000025,"06/25/2017"
542692,16000025,16000025,"06/25/2017"
724491,16100020,16100020,"06/18/2017"
699840,16200013,16200013,"06/04/2017"
675144,24601103,16200013,"06/16/2017"
754487,16000025,16000025,"06/25/2017"
724169,16200014,16200014,"06/18/2017"
729209,16200013,16200013,"06/04/2017"
580886,16200013,16100026,"06/04/2017"
719133,16000025,16000025,"06/25/2017"
689592,16000047,16000047,"06/25/2017"
659055,16000025,24601103,"06/25/2017"
669924,16000025,16000025,"06/25/2017"
581778,16000029,16000029,"06/25/2017"
712244,16100019,16100019,"06/18/2017"
757449,16200013,16200013,"06/18/2017"
608156,16100019,16100019,"06/18/2017"
673669,16000025,16000025,"06/25/2017"
705159,16100019,16100019,"06/04/2017"
604700,16000025,24601104,"06/25/2017"
554348,16100019,16100020,"06/04/2017"
631138,16000025,16000025,"06/11/2017"
753221,16000025,16000025,"06/25/2017"
723549,24601103,16000025,"06/16/2017"
725687,16000025,16000025,"06/11/2017"
698623,24601103,16000025,"06/01/2017"
596992,24601103,16000025,"06/16/2017"
620109,16000025,16000025,"06/25/2017"
678551,24601103,16100019,"06/16/2017"
735607,16200013,16200013,"06/18/2017"
492552,16100016,16100019,"06/18/2017"
758548,16200013,16200013,"06/18/2017"
728048,24601103,16000025,"06/01/2017"
555204,16100019,24601103,"06/04/2017"
579822,16200013,16200013,"06/04/2017"
734050,16000029,16000029,"06/11/2017"
757250,16000025,16000025,"06/11/2017"
439750,16100019,16100019,"06/18/2017"
678019,24601103,16200013,"06/01/2017"
758013,16100019,16100019,"06/04/2017"
606935,24601103,16000025,"06/16/2017"
753431,16000025,16000025,"06/25/2017"
664761,16200013,16200013,"06/04/2017"
534986,16200002,16200007,"06/18/2017"
729652,16000025,16000025,"06/25/2017"
459716,16100020,16100020,"06/18/2017"
750697,16200007,13001026,"06/11/2017"
713031,24601103,16000025,"06/16/2017"
669251,16200013,16200013,"06/18/2017"
690197,16100035,16100035,"06/04/2017"
735234,16100019,16000025,"06/04/2017"
641693,24601103,16000025,"06/01/2017"
567407,16000025,24601103,"06/25/2017"
690033,24606102,16100035,"06/01/2017"
562599,16100019,24601103,"06/04/2017"
656232,16200013,24601103,"06/18/2017"
730795,16000025,16000025,"06/11/2017"
685950,24601103,16000025,"06/16/2017"
702060,16000025,16000025,"06/25/2017"
735782,16100019,16100019,"06/18/2017"
480304,16000025,16000029,"06/25/2017"
686600,16200013,24601103,"06/18/2017"
653138,16000025,16000025,"06/25/2017"
726865,16000025,16000029,"06/25/2017"
706809,16000029,16000029,"06/25/2017"
753903,16200013,16200013,"06/18/2017"
674747,16000025,16000025,"06/25/2017"
655056,16100019,16100019,"06/18/2017"
702934,24601103,16000025,"06/01/2017"
658990,24601103,16200013,"06/16/2017"
562729,16200013,24601138,"06/18/2017"
723099,16000025,16000025,"06/25/2017"
748379,24501151,13009029,"06/01/2017"
611054,24601103,16200013,"06/16/2017"
735258,16000025,16000025,"06/25/2017"
754103,16000025,16000025,"06/25/2017"
732521,16200013,16200013,"06/04/2017"
644378,16000025,16000025,"06/11/2017"
757997,16100019,16100019,"06/18/2017"
759188,16200013,16200013,"06/18/2017"
703146,24601103,16200013,"06/01/2017"
712483,16000025,16000025,"06/11/2017"
735492,16000025,16000025,"06/25/2017"
709319,16100019,16200013,"06/18/2017"
721975,24601103,16000025,"06/01/2017"
