"","response.id","time.started","date.submitted","status","contact.id","legacy.comments","comments","language","referer","extended.referer","sessionid","user.agent","extended.user.agent","tags","ip.address","longitude","latitude","country","city","state.region","postal","are.you.currently.a.dues.paying.member.of.the.communications.workers.of.america..cwa..","would.you.agree.or.disagree.that.sexual.harassment.is.an.issue.in.your.workplace.","â..have.you.personally.experienced.any.of.the.following.harassments.at.your.current.job.or.workplace.within.the.last.year...verbal.harassment.of.a.sexual.nature..unwanted.touching.or.physical.contact..cyber.harassment..including.unwanted.comments.or.photos.shared.via.email..social.media..or.text...unwelcome.sexual.advances.or.requests.for.sexual.favors..physical.acts.of.sexual.assault..homophobic.or.transphobic.comments.or.behavior..sexism.or.gender.based.discrimination..other.forms.of.sexual.harassment.","yes..to.a.steward.if.you.have.experienced.any.form.of.sexual.harassment.in.the.workplace.within.the.last.year..was.the.issue.reported..check.all.that.apply.","yes..to.a.superior.if.you.have.experienced.any.form.of.sexual.harassment.in.the.workplace.within.the.last.year..was.the.issue.reported..check.all.that.apply.","yes..to.human.resources.if.you.have.experienced.any.form.of.sexual.harassment.in.the.workplace.within.the.last.year..was.the.issue.reported..check.all.that.apply.","no..but.i.told.a.coworker.if.you.have.experienced.any.form.of.sexual.harassment.in.the.workplace.within.the.last.year..was.the.issue.reported..check.all.that.apply.","no..not.reported.if.you.have.experienced.any.form.of.sexual.harassment.in.the.workplace.within.the.last.year..was.the.issue.reported..check.all.that.apply.","if.you.have.reported.an.incident.of.sexual.harassment..how.satisfied.were.you.with.the.outcome.","didn.t.want.to.get.someone.in.trouble.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","unsure.how.to.report.the.incident.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","unsure.reporting.the.incident.would.help.or.be.taken.seriously.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","don.t.have.a.steward.or.i.m.not.sure.who.that.person.is.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","worried.about.retaliation.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","don.t.trust.my.steward.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","reported.to.human.resources.or.a.superior.instead.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","lack.of.support.from.co.workers.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","i.was.not.a.union.member.at.the.time.of.the.incident.s..if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","other...write.in.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply.","other...write.in.if.you.did.not.report.to.your.union.steward.or.representative..why.not..check.all.that.apply..1","if.you.did.report.an.incident.of.sexual.harassment.to.a.representative.of.your.union..how.much.do.you.agree.that.the.union.helped.you.achieve.your.desired.outcome.","a.direct.supervisor.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","someone.in.a.more.senior.role.who.is.not.a.direct.supervisor.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","another.union.represented.employee.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","a.steward..representative..or.leader.of.my.union.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","a.contractor.hired.by.my.employer.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","a.more.junior.employee.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","a.customer.of.my.employer.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","other...write.in.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","exclusive...none.of.the.above.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply.","other...write.in.please.answer.whether.within.the.last.year.people.in.any.of.the.following.roles.have.ever.been.perpetrators.of.sexual.harassment.against.you.at.your.current.job..check.all.that.apply..1","have.you.witnessed.any.of.the.following.harassments.a.bystander.at.your.current.job.or.workplace.within.the.last.year...verbal.harassment.of.a.sexual.nature..unwanted.touching.or.physical.contact..cyber.harassment..including.unwanted.comments.or.photos.shared.via.email..social.media..or.text...unwelcome.sexual.advances.or.requests.for.sexual.favors..physical.acts.of.sexual.assault..homophobic.or.transphobic.comments.or.behavior..sexism.or.gender.based.discrimination..other.forms.of.sexual.harassment.","how.often.do.you.experience.or.witness.sexual.harassment.at.your.workplace.","how.satisfied.are.you.with.the.sexual.harassment.policy.and.procedures.at.your.workplace.","office.please.describe.your.work.location.â..check.all.that.apply.","call.center.please.describe.your.work.location.â..check.all.that.apply.","newsroom.please.describe.your.work.location.â..check.all.that.apply.","retail.store.please.describe.your.work.location.â..check.all.that.apply.","work.at.remote.sites.in.the.field.or.from.my.vehicle.please.describe.your.work.location.â..check.all.that.apply.","based.from.my.home.please.describe.your.work.location.â..check.all.that.apply.","airport.or.airplane.please.describe.your.work.location.â..check.all.that.apply.","plant.or.manufacturing.site.please.describe.your.work.location.â..check.all.that.apply.","other...write.in.please.describe.your.work.location.â..check.all.that.apply.","other...write.in.please.describe.your.work.location.â..check.all.that.apply..1","do.you.visit.homes.of.customers.or.clients.on.the.job.","if.yes..have.you.had.an.experience.in.the.last.year.where.you.feared.for.your.safety..been.touched.or.grabbed..experienced.unwanted.advances..harassed.verbally..or.experienced.another.form.of.sexual.harassment.in.a.customer.s.or.client.s.home.","have.you.received.training.from.your.employer.on.protecting.yourself.from.difficult.or.inappropriate.situations.in.customer.s.or.client.s.homes.","more.or.better.training.on.how.to.understand.the.existing.sexual.harassment.policy.and.reporting.procedure.at.your.workplace.how.interested.would.you.be.in.the.following.actions.from.your.union.to.address.sexual.harassment.in.the.workplace.","bystander.training.on.how.to.intervene.as.a.witness.of.sexual.harassment.how.interested.would.you.be.in.the.following.actions.from.your.union.to.address.sexual.harassment.in.the.workplace.","advocating.for.a.better.sexual.harassment.policy.at.your.workplace.how.interested.would.you.be.in.the.following.actions.from.your.union.to.address.sexual.harassment.in.the.workplace.","assisting.and.supporting.victims.of.sexual.harassment.to.address.the.issue.and.achieve.a.desired.outcome.how.interested.would.you.be.in.the.following.actions.from.your.union.to.address.sexual.harassment.in.the.workplace.","addressing.issues.of.sexual.harassment.within.your.local..which.could.include.creating.or.improving.a.sexual.harassment.policy.how.interested.would.you.be.in.the.following.actions.from.your.union.to.address.sexual.harassment.in.the.workplace.","what.is.your.gender.","other...write.in.what.is.your.gender.","other...write.in.what.is.your.gender..1","what.is.your.race.","other...write.in.what.is.your.race.","what.is.your.year.of.birth...4.digit.year.","in.which.industry.do.you.primarily.work.","other...write.in.in.which.industry.do.you.primarily.work.","what.is.your.annual.household.income.","what.is.your.highest.level.of.education.","are.there.any.additional.comments.you.d.like.to.share.","sentiment...are.there.any.additional.comments.you.d.like.to.share.","sexcat","racecat","raw_age","agecat","weights"
"1",16,"07/02/2018 16:33","07/02/2018 16:37","Complete",NA,NA,NA,"English","","","1530563582_5b3a8bfe6cacd8.45514739","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",NA,"70.116.183.185",-97.10610199,32.81010056,"United States","Euless","TX",76040,"Yes","Agree","Yes","","","","No, but I told a coworker","","Not applicable","","Unsure how to report the incident","","","","","","","","","","","","","","","","","A customer of my employer","","","","Yes","1 or more times per year","Unsure or unaware of any policies or procedures related to sexual harassment in my workplace","","","","","","","Airport or airplane","","","","No","","","Interested","Very interested","Interested","Interested","Interested","Female",NA,"","White","",1972,"Airlines","","$150,000 or more","Bachelor's degree","",NA,"Female","White",46,2,0.938463391604388
"2",17,"07/02/2018 16:33","07/02/2018 16:36","Complete",NA,NA,NA,"English","android-app://com.google.android.gm","android-app://com.google.android.gm","1530563593_5b3a8c0976f196.46915887","Mozilla/5.0 (Linux; Android 8.1.0; Pixel 2 XL Build/OPM2.171026.006.C1) AppleWebKit/537.36 (KHTML, l","Mozilla/5.0 (Linux; Android 8.1.0; Pixel 2 XL Build/OPM2.171026.006.C1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36",NA,"23.119.213.226",-78.39050293,35.78770065,"United States","Wendell","NC",27591,"Yes","Strongly agree","Yes","","","","","No, not reported","Not applicable","","","Unsure reporting the incident would help or be taken seriously","","Worried about retaliation","","","","","","","","A direct supervisor","Someone in a more senior role who is not a direct supervisor","","","","","A customer of my employer","","","","Yes","1 or more times per month","Very Dissatisfied","","","","","","Based from my home","","","","","No","","","Very interested","Very interested","Very interested","Very interested","Very interested","Male",NA,"","Black/African-American","",1992,"Airlines","","$25,000 to $34,999","Bachelor's degree","",NA,"Male","Black/African-American",26,1,0.66696676651955
"3",20,"07/02/2018 16:37","07/02/2018 16:41","Complete",NA,NA,NA,"English","","","1530563877_5b3a8d250093a5.69738380","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G892A Build/R16NW) AppleWebKit/537.36 (KHTML, like Gec","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G892A Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/7.2 Chrome/59.0.3071.125 Mobile Safari/537.36",NA,"108.245.110.136",-86.26139832,41.6534996,"United States","South Bend","IN",46613,"Yes","Strongly agree","Yes","Yes, to a steward","","","","","Very Dissatisfied","","","","","","","","","","","","Strongly disagree","A direct supervisor","","","","","","","","","","Unsure","1 or more times per month","Very Dissatisfied","","","","","Work at remote sites in the field or from my vehicle","","","","","","Yes","Yes","Yes","Very interested","Very interested","Very interested","Very interested","Very interested","Male",NA,"","White","",1973,"Telecom","","$100,000 to $124,999","Graduated high school","",NA,"Male","White",45,2,1.16570662418628
"4",21,"07/02/2018 16:39","07/02/2018 16:43","Complete",NA,NA,NA,"English","","","1530563985_5b3a8d912c70c2.79345645","Mozilla/5.0 (iPhone; CPU iPhone OS 11_2 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 11_2 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0 Mobile/15C114 Safari/604.1",NA,"73.248.149.144",-74.71510315,40.28300095,"United States","Trenton","NJ",8648,"Yes","Strongly agree","Yes","","","","","No, not reported","Not applicable","","","","","Worried about retaliation","","","","","","","","","","","","A contractor hired by my employer","","","","","","No","1 or more times per month","Unsure or unaware of any policies or procedures related to sexual harassment in my workplace","Office","","","","","","","","","","No","","","Not interested","Not interested","Not interested","Not interested","Not interested","Female",NA,"","White","",1966,"Government/public service","","$75,000 to $99,999","Some college, no degree","",NA,"Female","White",52,2,0.938463391604388
"5",23,"07/02/2018 16:40","07/02/2018 16:47","Complete",NA,NA,NA,"English","","","1530564037_5b3a8dc50b7931.02874796","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",NA,"174.203.13.74",-73.95120239,40.7804985,"United States","New York","NY",10128,"Yes","Neutral","Yes","","Yes, to a superior","Yes, to Human Resources","","","Dissatisfied","","","Unsure reporting the incident would help or be taken seriously","","","","","","","","","","","","","","","","","","","","No","Unsure","Neutral","","","","","","","Airport or airplane","","","","No","","","Very interested","","Neutral","Not interested","Neutral","Female",NA,"","White","",1954,"Airlines","","$150,000 or more","Bachelor's degree","",NA,"Female","White",64,3,1.34915499337412
"7",27,"07/02/2018 16:43","07/02/2018 16:46","Complete",NA,NA,NA,"English","","","1530564196_5b3a8e644dbc70.09054429","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gec","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/7.2 Chrome/59.0.3071.125 Mobile Safari/537.36",NA,"107.77.229.80",-118.2440033,34.0544014,"United States","","CA",NA,"Yes","Agree","Yes","","","","No, but I told a coworker","","Very Dissatisfied","","Unsure how to report the incident","Unsure reporting the incident would help or be taken seriously","","Worried about retaliation","","","Lack of support from co-workers","","","","","","Someone in a more senior role who is not a direct supervisor","","","","","A customer of my employer","","","","Yes","1 or more times per month","Dissatisfied","Office","Call center","","","Work at remote sites in the field or from my vehicle","","","","","","Yes","Yes","No","Very interested","Very interested","Very interested","Very interested","Very interested","Male",NA,"","White","",1984,"Telecom","","$35,000 to $49,999","Associate degree","",NA,"Male","White",34,1,1.11939189628254
"13",45,"07/02/2018 17:19","07/02/2018 17:24","Complete",NA,NA,NA,"English","","","1530566363_5b3a96dbba1a69.36426150","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1",NA,"24.20.212.140",-122.8191986,45.55339813,"United States","Portland","OR",97229,"Yes","Agree","Yes","","","","No, but I told a coworker","","Not applicable","","","","","Worried about retaliation","","","","","","","","","","","","","A more junior employee","","","","","Yes","1 or more times per month","Unsure or unaware of any policies or procedures related to sexual harassment in my workplace","","","","","","","Airport or airplane","","","","No","","","Neutral","Neutral","Interested","Interested","Interested","Female",NA,"","White","",1965,"Airlines","","$35,000 to $49,999","Bachelor's degree","None",NA,"Female","White",53,2,0.938463391604388
"14",46,"07/02/2018 17:20","07/02/2018 17:25","Complete",NA,NA,NA,"English","android-app://com.google.android.gm","android-app://com.google.android.gm","1530566419_5b3a971364b5a1.17127708","Mozilla/5.0 (Linux; Android 8.1.0; Pixel Build/OPM4.171019.021.D1) AppleWebKit/537.36 (KHTML, like G","Mozilla/5.0 (Linux; Android 8.1.0; Pixel Build/OPM4.171019.021.D1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36",NA,"104.129.192.188",-121.8914032,37.33879852,"United States","San Jose","CA",95141,"Yes","Agree","Yes","","","","No, but I told a coworker","","Not applicable","Didn't want to get someone in trouble","","Unsure reporting the incident would help or be taken seriously","","","","","Lack of support from co-workers","","","","","","","","","","","A customer of my employer","Other - Write In","","Coworker","Yes","1 or more times per month","Unsure or unaware of any policies or procedures related to sexual harassment in my workplace","","","","","","","Airport or airplane","","","","No","","","Interested","Neutral","Neutral","Very interested","Neutral","Female",NA,"","White","",1987,"Airlines","","$125,000 to $149,999","Advanced degree (Master's, Ph.D., M.D.)","With inflight, it's just very hard to know what is and what isn't sexual harassment. Many flight attendants make overt comments of a sexual nature and are very touchy, but I don't know if this should escalate to a report even though it makes me uncomfortable. I'm not sure any training could change this as it seems to be individual attitudes as to what constitutes appropriate workplace banter.",NA,"Female","White",31,1,0.901177271985636
"16",51,"07/02/2018 17:26","07/02/2018 17:31","Complete",NA,NA,NA,"English","","","1530566807_5b3a9897167ec7.74098485","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",NA,"172.58.91.187",-122.444397,37.72169876,"United States","San Francisco","CA",94112,"Yes","Agree","Yes","","","","","No, not reported","Not applicable","Didn't want to get someone in trouble","","","","Worried about retaliation","","","","","","","","","","Another union-represented employee","","","A more junior employee","","","","","Yes","1 or more times per year","Unsure or unaware of any policies or procedures related to sexual harassment in my workplace","","","","","","","Airport or airplane","","","","No","","","Interested","Interested","Neutral","Interested","Neutral","Male",NA,"","White","",1964,"Airlines","","$150,000 or more","Some college, no degree","",NA,"Male","White",54,2,1.16570662418628
"18",55,"07/02/2018 17:39","07/02/2018 17:43","Complete",NA,NA,NA,"English","","","1530567598_5b3a9bae1ecf99.22462203","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) CriO","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) CriOS/67.0.3396.87 Mobile/15F79 Safari/604.1",NA,"174.239.1.182",-157.8726959,21.36289978,"United States","Honolulu","HI",96819,"Yes","Agree","Yes","","","","No, but I told a coworker","","Not applicable","Didn't want to get someone in trouble","","","","Worried about retaliation","","","","","","","","","Someone in a more senior role who is not a direct supervisor","","","","","","","","","No","1 or more times per year","Neutral","","","","","","","Airport or airplane","","","","No","","","Neutral","Neutral","Neutral","Interested","Interested","Female",NA,"","Hispanic/Latino","",1992,"Airlines","","$25,000 to $34,999","Bachelor's degree","",NA,"Female","Hispanic/Latino",26,1,0.493401440082956
