Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Are you currently a dues paying member of the Communications Workers of America (CWA)?,Would you agree or disagree that sexual harassment is an issue in your workplace?,"  Have you personally experienced any of the following harassments at your current job or workplace within the last year?  Verbal harassment of a sexual nature 	Unwanted touching or physical contact 	Cyber harassment (including unwanted comments or photos shared via email, social media, or text) 	Unwelcome sexual advances or requests for sexual favors 	Physical acts of sexual assault 	Homophobic or transphobic comments or behavior 	Sexism or gender-based discrimination 	Other forms of sexual harassment ","Yes, to a steward:If you have experienced any form of sexual harassment in the workplace within the last year, was the issue reported? Check all that apply.","Yes, to a superior:If you have experienced any form of sexual harassment in the workplace within the last year, was the issue reported? Check all that apply.","Yes, to Human Resources:If you have experienced any form of sexual harassment in the workplace within the last year, was the issue reported? Check all that apply.","No, but I told a coworker:If you have experienced any form of sexual harassment in the workplace within the last year, was the issue reported? Check all that apply.","No, not reported:If you have experienced any form of sexual harassment in the workplace within the last year, was the issue reported? Check all that apply.","If you have reported an incident of sexual harassment, how satisfied were you with the outcome?","Didn’t want to get someone in trouble:If you did not report to your union steward or representative, why not? Check all that apply.","Unsure how to report the incident:If you did not report to your union steward or representative, why not? Check all that apply.","Unsure reporting the incident would help or be taken seriously:If you did not report to your union steward or representative, why not? Check all that apply.","Don’t have a steward or I’m not sure who that person is:If you did not report to your union steward or representative, why not? Check all that apply.","Worried about retaliation:If you did not report to your union steward or representative, why not? Check all that apply.","Don’t trust my steward:If you did not report to your union steward or representative, why not? Check all that apply.","Reported to Human Resources or a superior instead:If you did not report to your union steward or representative, why not? Check all that apply.","Lack of support from co-workers:If you did not report to your union steward or representative, why not? Check all that apply.","I was not a union member at the time of the incident(s):If you did not report to your union steward or representative, why not? Check all that apply.","Other - Write In:If you did not report to your union steward or representative, why not? Check all that apply.","Other - Write In:If you did not report to your union steward or representative, why not? Check all that apply.","If you did report an incident of sexual harassment to a representative of your union, how much do you agree that the union helped you achieve your desired outcome?",A direct supervisor:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,Someone in a more senior role who is not a direct supervisor:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,Another union-represented employee:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,"A steward, representative, or leader of my union:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.",A contractor hired by my employer:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,A more junior employee:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,A customer of my employer:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,Other - Write In:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,Exclusive / None of the above:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,Other - Write In:Please answer whether within the last year people in any of the following roles have ever been perpetrators of sexual harassment against you at your current job. Check all that apply.,"Have you witnessed any of the following harassments a bystander at your current job or workplace within the last year?  Verbal harassment of a sexual nature 	Unwanted touching or physical contact 	Cyber harassment (including unwanted comments or photos shared via email, social media, or text) 	Unwelcome sexual advances or requests for sexual favors 	Physical acts of sexual assault 	Homophobic or transphobic comments or behavior 	Sexism or gender-based discrimination 	Other forms of sexual harassment ",How often do you experience or witness sexual harassment at your workplace?,How satisfied are you with the sexual harassment policy and procedures at your workplace?,Office:Please describe your work location.  Check all that apply.,Call center:Please describe your work location.  Check all that apply.,Newsroom:Please describe your work location.  Check all that apply.,Retail store:Please describe your work location.  Check all that apply.,Work at remote sites in the field or from my vehicle:Please describe your work location.  Check all that apply.,Based from my home:Please describe your work location.  Check all that apply.,Airport or airplane:Please describe your work location.  Check all that apply.,Plant or manufacturing site:Please describe your work location.  Check all that apply.,Other - Write In:Please describe your work location.  Check all that apply.,Other - Write In:Please describe your work location.  Check all that apply.,Do you visit homes of customers or clients on the job?,"If yes, have you had an experience in the last year where you feared for your safety, been touched or grabbed, experienced unwanted advances, harassed verbally, or experienced another form of sexual harassment in a customer’s or client’s home?",Have you received training from your employer on protecting yourself from difficult or inappropriate situations in customer’s or client’s homes?,More or better training on how to understand the existing sexual harassment policy and reporting procedure at your workplace:How interested would you be in the following actions from your union to address sexual harassment in the workplace?,Bystander training on how to intervene as a witness of sexual harassment:How interested would you be in the following actions from your union to address sexual harassment in the workplace?,Advocating for a better sexual harassment policy at your workplace:How interested would you be in the following actions from your union to address sexual harassment in the workplace?,Assisting and supporting victims of sexual harassment to address the issue and achieve a desired outcome:How interested would you be in the following actions from your union to address sexual harassment in the workplace?,"Addressing issues of sexual harassment within your Local, which could include creating or improving a sexual harassment policy:How interested would you be in the following actions from your union to address sexual harassment in the workplace?",What is your gender?,Other - Write In:What is your gender?,Other - Write In:What is your gender?,What is your race?,Other - Write In:What is your race?,What is your year of birth? (4 digit year),In which industry do you primarily work?,Other - Write In:In which industry do you primarily work?,What is your annual household income?,What is your highest level of education?,Are there any additional comments you’d like to share?,Sentiment - Are there any additional comments you’d like to share?
16,07/02/2018 16:33,07/02/2018 16:37,Complete,,,,English,,,1530563582_5b3a8bfe6cacd8.45514739,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",,70.116.183.185,-97.10610199,32.81010056,United States,Euless,TX,76040,Yes,Agree,Yes,,,,"No, but I told a coworker",,Not applicable,,Unsure how to report the incident,,,,,,,,,,,,,,,,,A customer of my employer,,,,Yes,1 or more times per year,Unsure or unaware of any policies or procedures related to sexual harassment in my workplace,,,,,,,Airport or airplane,,,,No,,,Interested,Very interested,Interested,Interested,Interested,Male,,,White,,1972,Airlines,,"$150,000 or more",Bachelor's degree,,
18,07/02/2018 16:33,07/02/2018 16:33,Complete,,,,English,,,1530563603_5b3a8c137c39d4.91435796,"Mozilla/5.0 (Linux; Android 7.0; SM-G930T Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","Mozilla/5.0 (Linux; Android 7.0; SM-G930T Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36",,172.56.3.58,-76.959198,38.96720123,United States,Hyattsville,MD,20782,Yes,Strongly agree,Yes,,,,,"No, not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,
19,07/02/2018 16:35,07/02/2018 16:39,Complete,,,,English,,,1530563700_5b3a8c74830054.39465963,"Mozilla/5.0 (Linux; Android 5.1.1; KFTBWI Build/LVY48F) AppleWebKit/537.36 (KHTML, like Gecko) Silk/","Mozilla/5.0 (Linux; Android 5.1.1; KFTBWI Build/LVY48F) AppleWebKit/537.36 (KHTML, like Gecko) Silk/67.4.1 like Chrome/67.0.3396.87 Safari/537.36",,68.46.247.97,-82.43969727,37.16350174,United States,Clintwood,VA,24228,Yes,Disagree,No,,,,,,Not applicable,,,,,,,,,,,,,,,,,,,,,,,No,Unsure,Neutral,Office,,,,,,,,,,No,,,Not interested,Not interested,Not interested,Not at all interested or opposed,Not at all interested or opposed,Male,,,Other - Write In,American..........period,,Law enforcement,,"$50,000 to $74,999","Advanced degree (Master's, Ph.D., M.D.)",,
20,07/02/2018 16:37,07/02/2018 16:41,Complete,,,,English,,,1530563877_5b3a8d250093a5.69738380,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G892A Build/R16NW) AppleWebKit/537.36 (KHTML, like Gec","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G892A Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/7.2 Chrome/59.0.3071.125 Mobile Safari/537.36",,108.245.110.136,-86.26139832,41.6534996,United States,South Bend,IN,46613,Yes,Strongly agree,Yes,"Yes, to a steward",,,,,Very Dissatisfied,,,,,,,,,,,,Strongly disagree,A direct supervisor,,,,,,,,,,Unsure,1 or more times per month,Very Dissatisfied,,,,,Work at remote sites in the field or from my vehicle,,,,,,Yes,Yes,Yes,Very interested,Very interested,Very interested,Very interested,Very interested,Female,,,White,,1973,Telecom,,"$100,000 to $124,999",Graduated high school,,
22,07/02/2018 16:39,07/02/2018 16:40,Complete,,,,English,,,1530563996_5b3a8d9c5d9686.11297851,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_2 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_2 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0 Mobile/15C202 Safari/604.1",,172.58.153.189,-80.8431015,35.22710037,United States,,NC,,Yes,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,
23,07/02/2018 16:40,07/02/2018 16:47,Complete,,,,English,,,1530564037_5b3a8dc50b7931.02874796,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",,174.203.13.74,-73.95120239,40.7804985,United States,New York,NY,10128,Yes,Neutral,Yes,,"Yes, to a superior","Yes, to Human Resources",,,Dissatisfied,,,Unsure reporting the incident would help or be taken seriously,,,,,,,,,,,,,,,,,,,,No,Unsure,Neutral,,,,,,,Airport or airplane,,,,No,,,Very interested,,Neutral,Not interested,Neutral,Male,,,White,,1954,Airlines,,"$150,000 or more",Bachelor's degree,,
26,07/02/2018 16:42,07/02/2018 16:43,Complete,,,,English,,,1530564150_5b3a8e36680ea2.23747186,"Mozilla/5.0 (Linux; Android 8.0.0; SM-N950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chro","Mozilla/5.0 (Linux; Android 8.0.0; SM-N950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36",,174.225.141.142,-74.12680054,40.85549927,United States,Passaic,NJ,7055,Yes,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,
27,07/02/2018 16:43,07/02/2018 16:46,Complete,,,,English,,,1530564196_5b3a8e644dbc70.09054429,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gec","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/7.2 Chrome/59.0.3071.125 Mobile Safari/537.36",,107.77.229.80,-118.2440033,34.0544014,United States,,CA,,Yes,Agree,Yes,,,,"No, but I told a coworker",,Very Dissatisfied,,Unsure how to report the incident,Unsure reporting the incident would help or be taken seriously,,Worried about retaliation,,,Lack of support from co-workers,,,,,,Someone in a more senior role who is not a direct supervisor,,,,,A customer of my employer,,,,Yes,1 or more times per month,Dissatisfied,Office,Call center,,,Work at remote sites in the field or from my vehicle,,,,,,Yes,Yes,No,Very interested,Very interested,Very interested,Very interested,Very interested,Female,,,White,,1984,Telecom,,"$35,000 to $49,999",Associate degree,,
29,07/02/2018 16:46,07/02/2018 16:47,Complete,,,,English,,,1530564417_5b3a8f4114c506.32774351,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",,107.77.223.172,-74.01689911,40.6405983,United States,Brooklyn,NY,11220,Yes,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,
38,07/02/2018 17:06,07/02/2018 17:07,Complete,,,,English,http://m.facebook.com/,http://m.facebook.com/,1530565601_5b3a93e10fc631.62104273,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U1 Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko)","Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U1 Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/67.0.3396.87 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/178.0.0.57.86;]",,174.205.15.255,-77.09970093,39.10739899,United States,Rockville,MD,20853,Yes,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,
